,eval_average_episode_rewards,algo,step,scenario
0,0.11599999999999974,AengMixer,10000.0,0
1,0.11789999999999974,AengMixer,20000.0,0
2,0.1431199999999997,AengMixer,30000.0,0
3,0.20709599999999964,AengMixer,40000.0,0
4,0.2896767999999997,AengMixer,50000.0,0
5,0.39554143999999997,AengMixer,60000.0,0
6,0.4809331520000003,AengMixer,70000.0,0
7,0.5487465216000005,AengMixer,80000.0,0
8,0.5793972172800006,AengMixer,90000.0,0
9,0.5886177738240006,AengMixer,100000.0,0
10,0.6041942190592006,AengMixer,110000.0,0
11,0.704355375247361,AengMixer,120000.0,0
12,0.7750843001978893,AengMixer,130000.0,0
13,0.8642674401583121,AengMixer,140000.0,0
14,0.9405139521266503,AengMixer,150000.0,0
15,0.9879111617013209,AengMixer,160000.0,0
16,1.0334289293610572,AengMixer,170000.0,0
17,1.1245431434888467,AengMixer,180000.0,0
18,1.2003345147910782,AengMixer,190000.0,0
19,1.2899676118328633,AengMixer,200000.0,0
20,1.3419740894662917,AengMixer,210000.0,0
21,1.4016792715730344,AengMixer,220000.0,0
22,1.4711434172584283,AengMixer,230000.0,0
23,1.5346147338067437,AengMixer,240000.0,0
24,1.5773917870453962,AengMixer,250000.0,0
25,1.6471134296363181,AengMixer,260000.0,0
26,1.6862907437090557,AengMixer,270000.0,0
27,1.7075325949672455,AengMixer,280000.0,0
28,1.7421260759737973,AengMixer,290000.0,0
29,1.777400860779039,AengMixer,300000.0,0
30,1.8159206886232324,AengMixer,310000.0,0
31,1.845436550898587,AengMixer,320000.0,0
32,1.8851492407188708,AengMixer,330000.0,0
33,1.9139193925750977,AengMixer,340000.0,0
34,1.9467355140600793,AengMixer,350000.0,0
35,1.9659884112480646,AengMixer,360000.0,0
36,1.9851907289984527,AengMixer,370000.0,0
37,2.004652583198763,AengMixer,380000.0,0
38,2.0265220665590116,AengMixer,390000.0,0
39,2.0440176532472103,AengMixer,400000.0,0
40,2.0534141225977693,AengMixer,410000.0,0
41,2.0651312980782164,AengMixer,420000.0,0
42,2.073205038462574,AengMixer,430000.0,0
43,2.0835640307700607,AengMixer,440000.0,0
44,2.09125122461605,AengMixer,450000.0,0
45,2.105700979692841,AengMixer,460000.0,0
46,2.105560783754274,AengMixer,470000.0,0
47,2.1180486270034202,AengMixer,480000.0,0
48,2.1254389016027373,AengMixer,490000.0,0
49,2.127751121282191,AengMixer,500000.0,0
50,2.138400897025754,AengMixer,510000.0,0
51,2.1439207176206043,AengMixer,520000.0,0
52,2.1537365740964844,AengMixer,530000.0,0
53,2.1544892592771885,AengMixer,540000.0,0
54,2.156791407421752,AengMixer,550000.0,0
55,2.1611331259374027,AengMixer,560000.0,0
56,2.160906500749923,AengMixer,570000.0,0
57,2.1632252005999395,AengMixer,580000.0,0
58,2.1693801604799527,AengMixer,590000.0,0
59,2.1735041283839633,AengMixer,600000.0,0
60,2.174303302707172,AengMixer,610000.0,0
61,2.1748426421657387,AengMixer,620000.0,0
62,2.1839741137325923,AengMixer,630000.0,0
63,2.187979290986075,AengMixer,640000.0,0
64,2.185383432788861,AengMixer,650000.0,0
65,2.18170674623109,AengMixer,660000.0,0
66,2.1768653969848732,AengMixer,670000.0,0
67,2.1771923175878998,AengMixer,680000.0,0
68,2.178453854070321,AengMixer,690000.0,0
69,2.178763083256258,AengMixer,700000.0,0
70,2.1801104666050075,AengMixer,710000.0,0
71,2.177088373284007,AengMixer,720000.0,0
72,2.181970698627207,AengMixer,730000.0,0
73,2.1868765589017665,AengMixer,740000.0,0
74,2.1893012471214144,AengMixer,750000.0,0
75,2.1874409976971325,AengMixer,760000.0,0
76,2.1880527981577074,AengMixer,770000.0,0
77,2.194942238526167,AengMixer,780000.0,0
78,2.1914537908209346,AengMixer,790000.0,0
79,2.195863032656749,AengMixer,800000.0,0
80,2.1950904261254003,AengMixer,810000.0,0
81,2.1931723409003214,AengMixer,820000.0,0
82,2.1926378727202582,AengMixer,830000.0,0
83,2.193410298176208,AengMixer,840000.0,0
84,2.2012282385409674,AengMixer,850000.0,0
85,2.205382590832775,AengMixer,860000.0,0
86,2.202906072666221,AengMixer,870000.0,0
87,2.196024858132978,AengMixer,880000.0,0
88,2.1868198865063837,AengMixer,890000.0,0
89,2.190555909205108,AengMixer,900000.0,0
90,2.1878447273640873,AengMixer,910000.0,0
91,2.194975781891271,AengMixer,920000.0,0
92,2.1976806255130183,AengMixer,930000.0,0
93,2.199744500410416,AengMixer,940000.0,0
94,2.188795600328334,AengMixer,950000.0,0
95,2.1645364802626683,AengMixer,960000.0,0
96,2.162129184210136,AengMixer,970000.0,0
97,2.1660033473681097,AengMixer,980000.0,0
98,2.168902677894489,AengMixer,990000.0,0
99,2.1791221423155926,AengMixer,1000000.0,0
0,0.054499999999999875,AengMixer,10000.0,0
1,0.1382999999999998,AengMixer,20000.0,0
2,0.20123999999999975,AengMixer,30000.0,0
3,0.2726919999999997,AengMixer,40000.0,0
4,0.3948536000000001,AengMixer,50000.0,0
5,0.48498288000000034,AengMixer,60000.0,0
6,0.5514863040000006,AengMixer,70000.0,0
7,0.6431890432000009,AengMixer,80000.0,0
8,0.7686512345600014,AengMixer,90000.0,0
9,0.8609209876480017,AengMixer,100000.0,0
10,0.9103367901184019,AengMixer,110000.0,0
11,0.9846694320947222,AengMixer,120000.0,0
12,1.0852355456757785,AengMixer,130000.0,0
13,1.1719884365406237,AengMixer,140000.0,0
14,1.2399907492324997,AengMixer,150000.0,0
15,1.2773925993860005,AengMixer,160000.0,0
16,1.3487140795088013,AengMixer,170000.0,0
17,1.429371263607042,AengMixer,180000.0,0
18,1.5048970108856345,AengMixer,190000.0,0
19,1.5596176087085087,AengMixer,200000.0,0
20,1.594494086966808,AengMixer,210000.0,0
21,1.6214952695734475,AengMixer,220000.0,0
22,1.680096215658759,AengMixer,230000.0,0
23,1.7156769725270085,AengMixer,240000.0,0
24,1.7489415780216078,AengMixer,250000.0,0
25,1.7634532624172872,AengMixer,260000.0,0
26,1.7971626099338307,AengMixer,270000.0,0
27,1.8394300879470658,AengMixer,280000.0,0
28,1.864544070357654,AengMixer,290000.0,0
29,1.8869352562861244,AengMixer,300000.0,0
30,1.9221482050289005,AengMixer,310000.0,0
31,1.9439185640231216,AengMixer,320000.0,0
32,1.9562348512184984,AengMixer,330000.0,0
33,1.9796878809747998,AengMixer,340000.0,0
34,2.0023503047798408,AengMixer,350000.0,0
35,2.0202802438238736,AengMixer,360000.0,0
36,2.0258241950591,AengMixer,370000.0,0
37,2.0341593560472813,AengMixer,380000.0,0
38,2.048027484837826,AengMixer,390000.0,0
39,2.0572219878702622,AengMixer,400000.0,0
40,2.062777590296211,AengMixer,410000.0,0
41,2.07752207223697,AengMixer,420000.0,0
42,2.087917657789577,AengMixer,430000.0,0
43,2.094334126231663,AengMixer,440000.0,0
44,2.1075673009853313,AengMixer,450000.0,0
45,2.117153840788266,AengMixer,460000.0,0
46,2.126623072630614,AengMixer,470000.0,0
47,2.1391984581044925,AengMixer,480000.0,0
48,2.145258766483595,AengMixer,490000.0,0
49,2.155307013186877,AengMixer,500000.0,0
50,2.1522456105495027,AengMixer,510000.0,0
51,2.1553964884396035,AengMixer,520000.0,0
52,2.160617190751684,AengMixer,530000.0,0
53,2.1544937526013483,AengMixer,540000.0,0
54,2.15139500208108,AengMixer,550000.0,0
55,2.157116001664865,AengMixer,560000.0,0
56,2.164392801331893,AengMixer,570000.0,0
57,2.1657142410655155,AengMixer,580000.0,0
58,2.1686713928524135,AengMixer,590000.0,0
59,2.1749371142819323,AengMixer,600000.0,0
60,2.180549691425547,AengMixer,610000.0,0
61,2.188939753140439,AengMixer,620000.0,0
62,2.187751802512352,AengMixer,630000.0,0
63,2.185701442009883,AengMixer,640000.0,0
64,2.1816611536079074,AengMixer,650000.0,0
65,2.185128922886327,AengMixer,660000.0,0
66,2.1870031383090627,AengMixer,670000.0,0
67,2.1927025106472513,AengMixer,680000.0,0
68,2.197362008517802,AengMixer,690000.0,0
69,2.198989606814243,AengMixer,700000.0,0
70,2.1987916854513956,AengMixer,710000.0,0
71,2.1935333483611177,AengMixer,720000.0,0
72,2.199226678688895,AengMixer,730000.0,0
73,2.1954813429511173,AengMixer,740000.0,0
74,2.199385074360895,AengMixer,750000.0,0
75,2.1938080594887173,AengMixer,760000.0,0
76,2.201746447590975,AengMixer,770000.0,0
77,2.197897158072781,AengMixer,780000.0,0
78,2.2033177264582258,AengMixer,790000.0,0
79,2.2066541811665816,AengMixer,800000.0,0
80,2.2094233449332665,AengMixer,810000.0,0
81,2.2118386759466144,AengMixer,820000.0,0
82,2.215470940757293,AengMixer,830000.0,0
83,2.219676752605835,AengMixer,840000.0,0
84,2.2217414020846693,AengMixer,850000.0,0
85,2.2217931216677362,AengMixer,860000.0,0
86,2.21823449733419,AengMixer,870000.0,0
87,2.214887597867353,AengMixer,880000.0,0
88,2.2154100782938837,AengMixer,890000.0,0
89,2.214628062635108,AengMixer,900000.0,0
90,2.2154024501080873,AengMixer,910000.0,0
91,2.217421960086471,AengMixer,920000.0,0
92,2.222337568069178,AengMixer,930000.0,0
93,2.2207700544553437,AengMixer,940000.0,0
94,2.2235160435642762,AengMixer,950000.0,0
95,2.2211128348514224,AengMixer,960000.0,0
96,2.2191902678811393,AengMixer,970000.0,0
97,2.2258522143049126,AengMixer,980000.0,0
98,2.220581771443931,AengMixer,990000.0,0
99,2.2210654171551463,AengMixer,1000000.0,0
0,0.02899999999999987,AengMixer,10000.0,0
1,0.03719999999999987,AengMixer,20000.0,0
2,0.06675999999999985,AengMixer,30000.0,0
3,0.12810799999999972,AengMixer,40000.0,0
4,0.20558639999999972,AengMixer,50000.0,0
5,0.3069691199999999,AengMixer,60000.0,0
6,0.39887529600000005,AengMixer,70000.0,0
7,0.4825002368000002,AengMixer,80000.0,0
8,0.5257001894400004,AengMixer,90000.0,0
9,0.5624601515520005,AengMixer,100000.0,0
10,0.6275681212416008,AengMixer,110000.0,0
11,0.7006544969932812,AengMixer,120000.0,0
12,0.7566235975946254,AengMixer,130000.0,0
13,0.834198878075701,AengMixer,140000.0,0
14,0.8910591024605614,AengMixer,150000.0,0
15,0.9483472819684498,AengMixer,160000.0,0
16,1.0032778255747603,AengMixer,170000.0,0
17,1.0347222604598088,AengMixer,180000.0,0
18,1.0940778083678477,AengMixer,190000.0,0
19,1.175962246694279,AengMixer,200000.0,0
20,1.251869797355424,AengMixer,210000.0,0
21,1.3194958378843402,AengMixer,220000.0,0
22,1.3953966703074732,AengMixer,230000.0,0
23,1.4428173362459795,AengMixer,240000.0,0
24,1.4916538689967844,AengMixer,250000.0,0
25,1.5317230951974286,AengMixer,260000.0,0
26,1.5853784761579437,AengMixer,270000.0,0
27,1.642502780926356,AengMixer,280000.0,0
28,1.6899022247410858,AengMixer,290000.0,0
29,1.7464217797928696,AengMixer,300000.0,0
30,1.7812374238342967,AengMixer,310000.0,0
31,1.8084899390674385,AengMixer,320000.0,0
32,1.832691951253952,AengMixer,330000.0,0
33,1.8635535610031626,AengMixer,340000.0,0
34,1.8885428488025313,AengMixer,350000.0,0
35,1.919334279042026,AengMixer,360000.0,0
36,1.951867423233622,AengMixer,370000.0,0
37,1.9724939385868985,AengMixer,380000.0,0
38,2.00109515086952,AengMixer,390000.0,0
39,2.021076120695617,AengMixer,400000.0,0
40,2.0315608965564946,AengMixer,410000.0,0
41,2.032348717245197,AengMixer,420000.0,0
42,2.051378973796159,AengMixer,430000.0,0
43,2.0649031790369285,AengMixer,440000.0,0
44,2.079922543229544,AengMixer,450000.0,0
45,2.091038034583636,AengMixer,460000.0,0
46,2.10573042766691,AengMixer,470000.0,0
47,2.1172843421335292,AengMixer,480000.0,0
48,2.1348274737068245,AengMixer,490000.0,0
49,2.144461978965461,AengMixer,500000.0,0
50,2.1531695831723696,AengMixer,510000.0,0
51,2.1623356665378966,AengMixer,520000.0,0
52,2.1674685332303185,AengMixer,530000.0,0
53,2.175774826584256,AengMixer,540000.0,0
54,2.1720198612674055,AengMixer,550000.0,0
55,2.1745158890139256,AengMixer,560000.0,0
56,2.175912711211142,AengMixer,570000.0,0
57,2.1751301689689146,AengMixer,580000.0,0
58,2.177604135175133,AengMixer,590000.0,0
59,2.1838833081401074,AengMixer,600000.0,0
60,2.185906646512087,AengMixer,610000.0,0
61,2.182225317209671,AengMixer,620000.0,0
62,2.1808802537677376,AengMixer,630000.0,0
63,2.176004203014191,AengMixer,640000.0,0
64,2.177903362411354,AengMixer,650000.0,0
65,2.1819226899290847,AengMixer,660000.0,0
66,2.184738151943269,AengMixer,670000.0,0
67,2.1915905215546165,AengMixer,680000.0,0
68,2.1919724172436945,AengMixer,690000.0,0
69,2.195577933794957,AengMixer,700000.0,0
70,2.196262347035967,AengMixer,710000.0,0
71,2.1956098776287747,AengMixer,720000.0,0
72,2.193687902103021,AengMixer,730000.0,0
73,2.199950321682418,AengMixer,740000.0,0
74,2.2042602573459353,AengMixer,750000.0,0
75,2.2033082058767492,AengMixer,760000.0,0
76,2.1997465647014005,AengMixer,770000.0,0
77,2.1969972517611214,AengMixer,780000.0,0
78,2.201097801408898,AengMixer,790000.0,0
79,2.2026782411271197,AengMixer,800000.0,0
80,2.199842592901697,AengMixer,810000.0,0
81,2.2092740743213586,AengMixer,820000.0,0
82,2.210619259457088,AengMixer,830000.0,0
83,2.2097954075656716,AengMixer,840000.0,0
84,2.2099363260525386,AengMixer,850000.0,0
85,2.203649060842032,AengMixer,860000.0,0
86,2.2026192486736265,AengMixer,870000.0,0
87,2.201795398938902,AengMixer,880000.0,0
88,2.2101363191511227,AengMixer,890000.0,0
89,2.2118090553208996,AengMixer,900000.0,0
90,2.207347244256721,AengMixer,910000.0,0
91,2.203677795405378,AengMixer,920000.0,0
92,2.2043422363243033,AengMixer,930000.0,0
93,2.2017737890594438,AengMixer,940000.0,0
94,2.208319031247556,AengMixer,950000.0,0
95,2.206255224998046,AengMixer,960000.0,0
96,2.209204179998438,AengMixer,970000.0,0
97,2.211663343998752,AengMixer,980000.0,0
98,2.187230675199003,AengMixer,990000.0,0
99,2.1937845401592035,AengMixer,1000000.0,0
0,0.08449999999999978,AengMixer,10000.0,0
1,0.11179999999999979,AengMixer,20000.0,0
2,0.19843999999999967,AengMixer,30000.0,0
3,0.2615519999999996,AengMixer,40000.0,0
4,0.30264159999999957,AengMixer,50000.0,0
5,0.3519132799999996,AengMixer,60000.0,0
6,0.41943062399999964,AengMixer,70000.0,0
7,0.4733444991999999,AengMixer,80000.0,0
8,0.5223755993600001,AengMixer,90000.0,0
9,0.5667004794880003,AengMixer,100000.0,0
10,0.5942603835904003,AengMixer,110000.0,0
11,0.6457083068723206,AengMixer,120000.0,0
12,0.6919666454978568,AengMixer,130000.0,0
13,0.7380733163982858,AengMixer,140000.0,0
14,0.749158653118629,AengMixer,150000.0,0
15,0.7937269224949035,AengMixer,160000.0,0
16,0.8112815379959231,AengMixer,170000.0,0
17,0.8366252303967389,AengMixer,180000.0,0
18,0.8479001843173914,AengMixer,190000.0,0
19,0.8488201474539134,AengMixer,200000.0,0
20,0.8517561179631311,AengMixer,210000.0,0
21,0.8466048943705052,AengMixer,220000.0,0
22,0.8522839154964045,AengMixer,230000.0,0
23,0.8928271323971241,AengMixer,240000.0,0
24,0.9484617059176998,AengMixer,250000.0,0
25,0.9762693647341604,AengMixer,260000.0,0
26,1.000515491787329,AengMixer,270000.0,0
27,1.0407123934298637,AengMixer,280000.0,0
28,1.0834699147438918,AengMixer,290000.0,0
29,1.1233759317951142,AengMixer,300000.0,0
30,1.1881007454360921,AengMixer,310000.0,0
31,1.2199805963488743,AengMixer,320000.0,0
32,1.2871844770791003,AengMixer,330000.0,0
33,1.3345475816632812,AengMixer,340000.0,0
34,1.398138065330626,AengMixer,350000.0,0
35,1.4621104522645019,AengMixer,360000.0,0
36,1.4973883618116026,AengMixer,370000.0,0
37,1.539310689449283,AengMixer,380000.0,0
38,1.5861485515594274,AengMixer,390000.0,0
39,1.615118841247543,AengMixer,400000.0,0
40,1.6761950729980355,AengMixer,410000.0,0
41,1.7132560583984295,AengMixer,420000.0,0
42,1.7407048467187447,AengMixer,430000.0,0
43,1.767363877374997,AengMixer,440000.0,0
44,1.8304911018999985,AengMixer,450000.0,0
45,1.88479288152,AengMixer,460000.0,0
46,1.9249343052160008,AengMixer,470000.0,0
47,1.9559474441728018,AengMixer,480000.0,0
48,1.9872579553382426,AengMixer,490000.0,0
49,2.0154063642705955,AengMixer,500000.0,0
50,2.0401250914164777,AengMixer,510000.0,0
51,2.0601000731331833,AengMixer,520000.0,0
52,2.0282800585065477,AengMixer,530000.0,0
53,2.0140240468052393,AengMixer,540000.0,0
54,2.0290192374441927,AengMixer,550000.0,0
55,2.044715389955355,AengMixer,560000.0,0
56,2.031272311964285,AengMixer,570000.0,0
57,2.058317849571429,AengMixer,580000.0,0
58,2.0768542796571445,AengMixer,590000.0,0
59,2.088783423725717,AengMixer,600000.0,0
60,2.104526738980575,AengMixer,610000.0,0
61,2.108421391184461,AengMixer,620000.0,0
62,2.11233711294757,AengMixer,630000.0,0
63,2.118469690358057,AengMixer,640000.0,0
64,2.129775752286447,AengMixer,650000.0,0
65,2.1381206018291588,AengMixer,660000.0,0
66,2.138996481463328,AengMixer,670000.0,0
67,2.1407971851706633,AengMixer,680000.0,0
68,2.1448377481365317,AengMixer,690000.0,0
69,2.1530701985092264,AengMixer,700000.0,0
70,2.153656158807382,AengMixer,710000.0,0
71,2.1583249270459066,AengMixer,720000.0,0
72,2.1609599416367264,AengMixer,730000.0,0
73,2.167967953309382,AengMixer,740000.0,0
74,2.1745743626475065,AengMixer,750000.0,0
75,2.1827594901180065,AengMixer,760000.0,0
76,2.1849075920944063,AengMixer,770000.0,0
77,2.187426073675526,AengMixer,780000.0,0
78,2.1843408589404216,AengMixer,790000.0,0
79,2.1802726871523386,AengMixer,800000.0,0
80,2.175818149721872,AengMixer,810000.0,0
81,2.1679545197774988,AengMixer,820000.0,0
82,2.164663615822,AengMixer,830000.0,0
83,2.1664308926576012,AengMixer,840000.0,0
84,2.1731447141260825,AengMixer,850000.0,0
85,2.182615771300867,AengMixer,860000.0,0
86,2.1825926170406946,AengMixer,870000.0,0
87,2.190174093632557,AengMixer,880000.0,0
88,2.190439274906047,AengMixer,890000.0,0
89,2.187951419924839,AengMixer,900000.0,0
90,2.1862611359398723,AengMixer,910000.0,0
91,2.191808908751899,AengMixer,920000.0,0
92,2.1942471270015202,AengMixer,930000.0,0
93,2.2012977016012174,AengMixer,940000.0,0
94,2.205838161280975,AengMixer,950000.0,0
95,2.206370529024781,AengMixer,960000.0,0
96,2.212396423219826,AengMixer,970000.0,0
97,2.2189171385758617,AengMixer,980000.0,0
98,2.2180337108606905,AengMixer,990000.0,0
99,2.2198269686885537,AengMixer,1000000.0,0
0,0.04049999999999992,AengMixer,10000.0,0
1,0.05789999999999987,AengMixer,20000.0,0
2,0.11261999999999975,AengMixer,30000.0,0
3,0.20709599999999975,AengMixer,40000.0,0
4,0.27967679999999984,AengMixer,50000.0,0
5,0.34864143999999986,AengMixer,60000.0,0
6,0.437513152,AengMixer,70000.0,0
7,0.5354105216000004,AengMixer,80000.0,0
8,0.6156284172800006,AengMixer,90000.0,0
9,0.6590027338240008,AengMixer,100000.0,0
10,0.6899021870592008,AengMixer,110000.0,0
11,0.7512217496473611,AengMixer,120000.0,0
12,0.7760773997178891,AengMixer,130000.0,0
13,0.8244619197743118,AengMixer,140000.0,0
14,0.8355695358194498,AengMixer,150000.0,0
15,0.8908556286555603,AengMixer,160000.0,0
16,0.9252845029244487,AengMixer,170000.0,0
17,0.9485276023395595,AengMixer,180000.0,0
18,0.9870220818716481,AengMixer,190000.0,0
19,1.0506176654973192,AengMixer,200000.0,0
20,1.136994132397856,AengMixer,210000.0,0
21,1.2145953059182857,AengMixer,220000.0,0
22,1.2694762447346293,AengMixer,230000.0,0
23,1.3105809957877044,AengMixer,240000.0,0
24,1.3647647966301641,AengMixer,250000.0,0
25,1.3838118373041324,AengMixer,260000.0,0
26,1.4074494698433067,AengMixer,270000.0,0
27,1.4335595758746462,AengMixer,280000.0,0
28,1.469247660699718,AengMixer,290000.0,0
29,1.5017981285597752,AengMixer,300000.0,0
30,1.493338502847821,AengMixer,310000.0,0
31,1.5140708022782576,AengMixer,320000.0,0
32,1.519256641822607,AengMixer,330000.0,0
33,1.5482053134580867,AengMixer,340000.0,0
34,1.6183642507664704,AengMixer,350000.0,0
35,1.6576914006131775,AengMixer,360000.0,0
36,1.6953531204905432,AengMixer,370000.0,0
37,1.7387824963924357,AengMixer,380000.0,0
38,1.7607259971139497,AengMixer,390000.0,0
39,1.817880797691161,AengMixer,400000.0,0
40,1.8308046381529302,AengMixer,410000.0,0
41,1.8435437105223451,AengMixer,420000.0,0
42,1.897434968417877,AengMixer,430000.0,0
43,1.9435479747343027,AengMixer,440000.0,0
44,1.9752383797874433,AengMixer,450000.0,0
45,2.000990703829956,AengMixer,460000.0,0
46,2.023992563063966,AengMixer,470000.0,0
47,2.052594050451174,AengMixer,480000.0,0
48,2.0692752403609402,AengMixer,490000.0,0
49,2.0747201922887535,AengMixer,500000.0,0
50,2.089276153831004,AengMixer,510000.0,0
51,2.1027209230648043,AengMixer,520000.0,0
52,2.1072767384518447,AengMixer,530000.0,0
53,2.117921390761477,AengMixer,540000.0,0
54,2.1218371126091826,AengMixer,550000.0,0
55,2.1359696900873475,AengMixer,560000.0,0
56,2.1447757520698794,AengMixer,570000.0,0
57,2.152820601655905,AengMixer,580000.0,0
58,2.160656481324725,AengMixer,590000.0,0
59,2.164025185059781,AengMixer,600000.0,0
60,2.173120148047826,AengMixer,610000.0,0
